sample_id,word_count,epistemic_stance,stance_confidence,reasoning_quality,engagement_with_alternatives,stance_justification,stance_markers,text,label_id,predicted_label,predicted_prob_absolutist,predicted_prob_evaluativist,predicted_prob_multiplist,is_error,error_type,max_prob
soc_1485990,267,evaluativist,high,high,substantive,"The writer provides detailed reasoning for their position, drawing on personal experience and specific behavioral patterns they've identified. While they take a strong stance, they acknowledge the reader's desire for reconciliation and use qualified language like 'I don't mean to be pessimistic' and offer ongoing support, showing awareness that their judgment could be wrong.","[""I know you desire to patch things up"", ""this situation screams"", ""I've gone through this with"", ""I don't mean to be pessimistic; I just want you to be protected"", ""Feel free to DM me if you're still having anxiety""]","I’m sorry you’re going through this. I know you desire to patch things up and have things return to normal, but this situation screams toxicity. It’s one-sided. You’re putting in extraordinary effort, she got used to not having to put in the work in return, took you for granted, and then once you reached your limit with giving her unlimited attention, kindness, and thoughtfulness, she plays the victim card which is meant to make you feel badly for stopping the attention. 

I’ve gone through this with romantic partners and friendships. 

You said yourself she puts in effort with others and gives a blanket statement (I’m struggling) to diffuse blame. Guess what: We’re ALL struggling. What about your struggles? There’s no reciprocation. This is horribly anxiety inducing and hurtful. 

This also isn’t your fault. OP, it’s not up to you to put in the effort to rebuild a relationship that she let rot and decay. You tried to breathe life into it for ages, and it didn’t seem to work. You are much better off putting that effort into making new friends, finding a new hobby, binging a new TV show, or catching up on sleep than to continue putting effort into a relationship with her. This cycle will continue if you let it. She’ll string you along with just enough attention until she’s sure you’re in her orbit again. 

I don’t mean to be pessimistic; I just want you to be protected from something that a lot of us have experienced before. Feel free to DM me if you’re still having anxiety about this. Best of luck.",1,absolutist,0.785428,0.21065165,0.0039203726,True,evaluativist_as_absolutist,0.785428
soc_177022,594,evaluativist,medium,medium,superficial,"The writer presents their position as a reasoned judgment rather than absolute truth, using phrases like 'I suggest' and 'maybe' while acknowledging their own struggles with the same issue. They provide structured reasoning with specific examples and invite further dialogue with 'if you have more questions, please feel free to ask,' showing openness to revision.","[""I suggest you to replace"", ""Maybe you question your action because"", ""I hope I made my self clearer now"", ""if you have more questions, please feel free to ask"", ""I'm kind of repeating my self, because I'm not sure how to correctly express my self"", ""fyi: I suffer the same problem as you""]","What you described as a moral code of you, is the usual stuff. Its not really your moral code, but this is a moral code designed by a civilized society to keep people from being hurt and respecting their privacy and their life.

What I was talking about is your own moral code. Maybe the word ""moral code"" are not really a good words for this.

If you watched ""How I met your mother"", there was a ""Bro code"" made by Barney Stinson, to sum up how friends should behave when a woman is involved in their relationship (for example: ""you dont hit on your friends girlfriend"", ""friends are always more important than a random girl"" and etc). Of course this was made as joke (however some ""moral codes"" there are good to follow), but this is an example of the stuff I mean.

You need to have your own beliefs on things that matters to you. See, for example: when you don't hurt a person, do you have this feeling of ""whether I acted ok now or not""? I guess no, because this is one of your beliefs: that you should not hurt people.

I'm kind of repeating my self, because I'm not sure how to correctly express my self (fyi: I suffer the same problem as you, sometimes I look for confirmation from other people, and keep apologizing about stuff that I think I made wrong).

What I'm trying to say is that you can't just read a book or a how to about moral codes and say ""oh ok, so this is how I should behave"". You need to decide on stuff that is important to you on a less global level than ""dont hurt people"". ""Dont hurt people"" is a very good moral code, and I wish more people would have adopted it, but this is a moral code of a civilized society. Ideally, its applies to the whole society, while what I'm talking about is moral codes for **you** as an individual. If you dont have such, you are just copying other peoples behavior and loose yourself as an individual.

I suggest you to replace the though of ""was it ok that I did X?"" with the though ""Why do I question the act of doing X?"" It will help you to understand yourself better. Try to find the answer to this question. 

* Whether is lack of confidence that makes you question your actions? - Then work on your confidence.
* Maybe you question your action because this action really does not express who you are as an individual? - Then you should probably stop acting like this. Or if you really believe that this is the way you should behave then you need to give this action a time to ""grow"" into your belief. Lets say you decided that you need to be more dominant by speaking louder. It will feel awkward at the beginning, because you just planted a seed in your head ""I want to speak louder"". But this seed still needs to grow and become your belief. While it was not grown yet, you will continue to question your loud talking action: ""am I talking too loud?"" ""what if the other person thinks I was shouting at him?"" and etc. The more confidence you build, the less time it will take this seed to grow and become your adopted belief.

I hope I made my self clearer now, if you have an more questions, please feel free to ask and Ill try to answer!",1,absolutist,0.53526205,0.4582764,0.006461559,True,evaluativist_as_absolutist,0.53526205
soc_214350,184,evaluativist,high,high,none,"The writer presents their advice as reasoned judgment ('IMO') rather than absolute truth, provides a logical sequence of steps with explanations for why each matters, and shows metacognitive awareness of contradictions in their own approach ('The trick here is...'). They acknowledge the complexity and challenge of their advice ('Which is hard because...') and demonstrate self-reflection about their own tendencies toward condescension.","[""IMO"", ""You have to decide"", ""The trick here is"", ""Which is hard because"", ""Which is a challenge I face"", ""because I'm an ok guy""]","&gt; How do I relate with others? Through reading, exercise, hobbies? How should I be interesting and easily hold chemistry with people?

IMO, do you first.  You have to decide what you want to do with yourself, who do you want to be, what you enjoy doing.

Do those things, be comfortable and happy with an identity of yourself exposed through your actions, interests, and choices.

Then you are interesting to people because you are doing things that they aren't, you can talk about those things, you can talk about the things others do that you don't, and why.

The trick here is to actual give a shit about people.  Which is hard because to start with you have to not give a shit.  You become who you want to be on your terms by not caring about what others think.

But when you want to then relate to people, you need to actually care again.

Also, you need to not be condescending.  Which is a challenge I face, ~~because I am literally the best person in the world~~ because I'm an ok guy",1,absolutist,0.92491883,0.06822713,0.00685407,True,evaluativist_as_absolutist,0.92491883
soc_663137,259,evaluativist,high,high,substantive,"The writer presents a structured decision-making framework that weighs competing options (friendship vs. romantic relationship) and acknowledges trade-offs and uncertainties. They use conditional reasoning ('If you want control, you need to make the decision') and acknowledge that their advice is based on personal experience ('In my experience') rather than absolute truth, while still providing reasoned guidance.","[""Ask yourself if"", ""you have to decide between one or the other"", ""In my experience"", ""if the decision is between"", ""I've mostly regretted"", ""Is she worth the risk?"", ""If the answer is yes"", ""you will learn""]","Tldr: ask yourself if she's worth it ?

Ask yourself if your are satisfied with friendship or you're looking for a relationship. The answer should be obvious. Remember, you have to decide between one or the other. If it's friendship you value then don't ask her out and if it's romantic relationship with her that you want, you have to risk loosing friendship. 

In either case a decision will be made. However, If you want control, you need to make the decision and stick with it. What you decide is correct.

Once you've decided if it's romantic relationship you're looking for.

Ask her out. If you don't take the risk, you'll simply be wasting time with someone who's isn't going to reciprocate. That feeling you have while chatting with her till 2am or when you think about her, that's your gut feeling. You have a doubt because you don't know if it's right.

Sadly, the only way you can only know and gain advantage is by testing it. In my experience, if the decision is between doing and not doing something, I've mostly regretted choosing the latter. 

If she accepts you.. well, you have a girl you like :D. That's the reward.

If she rejects you, it will hurt you like hell, and make you sad. that's the risk. Is she worth the risk ? If the answer is yes, you know what to do, if she isn't, well time  
to move along.

Failing will suck, but you will learn. Lot of fish in the sea mate.

Good luck",1,absolutist,0.5419956,0.4443972,0.013607217,True,evaluativist_as_absolutist,0.5419956
soc_234623,172,evaluativist,high,medium,substantive,"The writer acknowledges uncertainty and complexity throughout their advice, using qualified language like 'I think you are worrying too much' and 'Different methods work for different people hence, I can't tell you what you have to do.' They provide reasoned advice while explicitly acknowledging the limitations of their knowledge ('I am not a psychiatrist') and suggesting the reader seek professional evaluation if needed.","[""I think you are worrying too much"", ""Different methods work for different people hence, I can't tell you what you have to do"", ""you will have to figure out this yourself"", ""I am not a psychiatrist, but it is always better to make sure"", ""such as depression or social anxiety disorder .etc""]","You are still very young at 16. I have seen a lot of socially awkward penguins transform into socially charismatic gods in their twenties. 

I am not going to lie though, your lack of social situation does seem dire. The solution is simple yet extremely difficult. Go out and socialize. It's an extremely difficult task which is why you are going to have to approach this with baby steps. Different methods work for different people hence, I can't tell you what you have to do, you will have to figure out this yourself. Remember, go slow. You will fall and fail umpteen times but that's how we grow as a person. Embrace failure and enjoy success.

Seriously, I think you are worrying too much. There is still a lot of time for you to grow as a person. One more thing, I am not a psychiatrist, but it is always better to make sure you don't have any mental illness contributing to your problem, such as depression or social anxiety disorder .etc",1,absolutist,0.49732256,0.49545017,0.007227248,True,evaluativist_as_absolutist,0.49732256
soc_317939,122,evaluativist,high,high,substantive,"The writer provides reasoned analysis based on contextual factors (university setting, reputation concerns, confidence levels) and weighs different considerations rather than asserting absolute rules. They acknowledge uncertainty about the person's situation ('I don't know you, but I sense') and provide conditional reasoning ('It depends on your confidence level'). The advice is framed as strategic evaluation rather than definitive commands.","[""It depends on"", ""I don't know you, but I sense"", ""I'm not saying don't go for it, but have this awareness"", ""At this point in your life, you should"", ""think long-term""]","It depends on your confidence level, and I don't know you, but I sense that you're not ready to approach some random girl confidently. So avoid doing that. Work on yourself first, build up your confidence and your overall social skills... think long-term.

You're in University. You're in a small pond... if you get a reputation, you'll be known as ""that guy"" by everyone and it can be hard to shake that off. I'm not saying don't go for it, but have this awareness. At this point in your life, you should not be fixated on winning one girl, you should prioritize winning in life... and that means building your reputation, your social skills, your network, your worldly knowledge, and so on.",1,absolutist,0.8021322,0.19320491,0.004662904,True,evaluativist_as_absolutist,0.8021322
soc_324772,227,evaluativist,high,high,substantive,"The writer provides reasoned arguments for their position, engages with the reader's perspective through the 'imagine the tables were turned' thought experiment, and acknowledges complexity while still reaching a clear judgment. They use evidence-based reasoning (boundary violations lead to negative social labels) rather than asserting absolute truths or treating all perspectives as equally valid.","[""I understand you want answers, but"", ""It does not matter why not"", ""Imagine the tables were turned"", ""Think about how comfortable you would feel"", ""You might be more mature in how you handle things than you believe"", ""Usually girls that can't take respect boundaries"", ""That is not a road you should let yourself go down""]","I understand you want answers, but you are not entitled to having her answer your questions about her decisions. Her refusing to answer further is a clear signal that her decision is not up for debate. 

In fact she has answered pretty clearly that she does not see you as relationship material for her. It does not matter why not. You should not change yourself to be with her anyway. She does not have to justify her relationship preferences and decisions to you or anyone either. 

Imagine the tables were turned. Think about how comfortable you would feel going into the reasons why you don't want to be in a relationship with a girl you like but don't click with. It is just not cool and definitely not going to change your mind if she were to keep pushing for clearer explanations why you don't want to be in a relationship with her. You might be more mature in how you handle things than you believe your ex has been, but you still would not appreciate her refusing to accept your decision and trying to get more justifications. 

Usually girls that can't take respect boundaries after a short relationship followed by a break-up get labeled ""psychos"", and guys like that usually get labeled ""creeps"" or worse. That is not a road you should let yourself go down. ",1,absolutist,0.587735,0.40783092,0.004434077,True,evaluativist_as_absolutist,0.587735
soc_378381,115,evaluativist,high,high,substantive,"The writer acknowledges genuine uncertainty ('Just be careful with your choice') while providing reasoned analysis of the trade-offs involved. They share personal experience as evidence ('I've been duped twice, but the one time it was genuine was one of the best moments of my life') and systematically weigh the competing considerations (benefits vs risks of reconnecting). The advice includes calibrated guidance that recognizes the complexity of the situation.","[""Just be careful with your choice"", ""Personally, I believe"", ""I've been duped twice, but"", ""Be prepared to hurt either way"", ""If they were bad enough to warrant cutting off, then you need to be sure""]","If they do contact you again after you cut them off, look deeper. Is there anything they want from you? Favors? Prestige? Attention? If they were bad enough to warrant cutting off, then you need to be sure about responding. Personally, I believe in second chances. I've been duped twice, but the one time it was genuine was one of the best moments of my life. Just be careful with your choice.

Because if you do respond, you WILL falter. You will remember all the good times and none of the bad times. Rose-tinted glasses.

It will hurt to turn them away. It will hurt to bring them back. Be prepared to hurt either way.",1,absolutist,0.82083285,0.17541209,0.0037550637,True,evaluativist_as_absolutist,0.82083285
soc_755947,141,evaluativist,medium,medium,substantive,"The writer provides structured reasoning for their position, engaging with an alternative viewpoint (the interview analogy) and explaining why one framing is better than another. They use conditional reasoning ('if you're the interviewer then...') and provide specific examples to support their argument about dating approaches, showing they're weighing different perspectives rather than asserting absolute truths.","[""First off"", ""Secondly"", ""if you're the interviewer then"", ""is that not a great way"", ""It's up to you to decide""]","All these people using the interview analogy.

First off, if you’re the interviewer then it’s easy to have fun in an interview. You can ask them good questions, joke with them, enjoy getting to know them, actively listen, tease them, act warm enough to help put them at ease because you know they’re nervous. There’s little pressure on you, except maybe you already know you want to hire the person and hope they’ll accept your offer.

Secondly is that not a great way to approach a date?

The frame of you’re the interviewee is just asking to mess things up, and it’s insulting to yourself. Be confident. You have things to offer your crush that are of value and you get to decide whether they are a good fit for you or not. It’s up to you to decide.

Edit: grammar",1,absolutist,0.91494036,0.08147902,0.003580611,True,evaluativist_as_absolutist,0.91494036
soc_195353,178,evaluativist,high,high,superficial,"The writer provides reasoned analysis with perspective-taking ('if she came up to you and told you she's been shagging her ex while you are trying to be with her, you would not be happy about it'), acknowledges uncertainty about outcomes ('it's all dependent on how she feels'), and engages in reflective questioning rather than absolute pronouncements. While direct and critical, they frame their advice as reasoned judgment rather than absolute truth.","[""I think you are gonna just have to"", ""you might well have lost"", ""it's all dependent on how she feels"", ""there's very little you can do"", ""you should probably talk it through"", ""just hope that she will""]","You fucked up sleeping with you ex. Telling person B wasn't the fuck up, but really you should have expected her response. I mean think about it: if she came up to you and told you she's been shagging her ex while you are trying to be with her, you would not be happy about it. 

I think you are gonna just have to grow up and realise your actions have consequences. You might well have lost your chance with person B now, and there's very little you can do to change that; it's all dependent on how she feels. 

Also, you have to be honest with yourself first and foremost: why did you sleep with your ex if you are looking to be with person B? Once you know the answer to that, you should probably talk it through with person B, be as honest as you can, and just hope that she will still want to have anything to do with you. 

Good luck trying to resolve this; lying is never the best way to go. ",1,absolutist,0.8260629,0.1698975,0.004039635,True,evaluativist_as_absolutist,0.8260629
