sample_id,word_count,epistemic_stance,stance_confidence,reasoning_quality,engagement_with_alternatives,stance_justification,stance_markers,text,label_id,predicted_label,predicted_prob_absolutist,predicted_prob_evaluativist,predicted_prob_multiplist,is_error,error_type,max_prob
soc_260718,206,evaluativist,high,medium,substantive,"The writer uses personal experience as evidence to support a broader claim about human complexity, acknowledging that initial assumptions can be wrong ('I didn't think we'd get on'). They engage with the complexity of identity and social categorization, using qualified language ('I think I'm just trying to say') and drawing reasoned conclusions from concrete examples rather than asserting absolute truths or treating all perspectives as equally valid.","[""I didn't think we'd get on"", ""Then he spotted"", ""it turns out"", ""Everyone is different"", ""I think I'm just trying to say"", ""we aren't defined by"", ""especially if""]","Wait... so you like a diverse amount of things, and will *do* different things depending on what you feel like, that's *so* geeky!

I'm joking mate, rest assured you're just the same as everyone else.

I remember being at Uni and a rugby 'lad' somehow ended up hanging with my mates - we were the 'play runescape, mount and blade and smoke weed all the time' crew and I didn't think we'd get on. Then he spotted my Band of Brothers collection and it turns out he is really into history and the Second World War and lots of other stuff you wouldn't attribute to the traditional rugby lad. 

Everyone is different and likes different things. I don't consider myself a nerd because I love Runescape and taking apart my PC etc. I also enjoy DJing and producing music with my mates, everyone has a multitude of hobbies. You say you'll watch video games being played, some nights I'll stay up watching speed runs of Elder Scrolls or Half Life, other nights I'll go to the pub with my pals.

I think I'm just trying to say that we aren't defined by what we like, especially if we like things that aren't usually the social norm. ",1,evaluativist,0.033963416,0.49137256,0.47466403,False,correct,0.49137256
soc_475327,284,absolutist,high,low,none,"The writer presents their advice as definitive truths without justification, using authoritative language like 'You need to find the formula' and 'there's no answer, no framework to learn.' They make sweeping claims about human behavior ('You'll notice those people who've been friends for years...') as if these are universal facts rather than observations that might vary.","[""You need to find the formula"", ""there's no answer, no framework to learn"", ""You'll notice those people who've been friends for years"", ""What I'm trying to say is"", ""Laughter in my opinion is the best medicine"", ""Everyone is different""]","Random stuff, anything on your mind.

Why carrots are orange, how you saw a perv in the club, about how you forgot to lock your door. What you did today, what you want to do.

Talk to entertain yourself. Picturing it like this helps me alot.

Laughter in my opinion is the best medicine. So aim to make yourself laugh and happy. If your stuff is doing silly dancing, messing about with people and making them uncomfortable then do that.

You'll notice those people who've been friends for years and years they sometimes rarely speak to each other. Just because your best friends dosnt mean you have to talk every second of every day of every week.

You need to find the formula, the balance between talking about yourself and them. Do more stuff, experiment, be silly, because then you'll have funny stories and more opinions about things.

What I'm trying to say is there's no answer, no framework to learn. And if your worrying about what to say to people and what to talk bout then that already tells you enough.. your spending time on thinking about what to say to people when you should be just getting on with your life and making yourself happy.

Everyone is different. For instance another thing I notice works is when I don't focus too much on the conversation. That way if my mind is focused on a task rather than the person I give a natural response saying what I truly want to say instead of filtering and thinking and thinking again and thinking I can't say that because of this or this because of that or this because it's too suggestive of this, etc.


",0,absolutist,0.50298804,0.48176438,0.015247553,False,correct,0.50298804
soc_667317,605,evaluativist,high,high,superficial,"The writer presents their advice as learned through experience ('I didn't learn these lessons until my ass had been whopped ten ways to Sunday') and acknowledges ongoing uncertainty ('I still have a lot to learn'). They provide reasoning for their claims (explaining why appearance matters, breaking down how to make others feel valued) while showing calibrated confidence and metacognitive awareness of their own limitations.","[""Let me go over what has helped me"", ""I didn't learn these lessons until my ass had been whopped"", ""I still have a lot to learn"", ""Nobody is ever the perfect statesman"", ""This is something that I personally value very much but others may not"", ""It is up to you whether or not you wish to disregard this"", ""It takes a LOT of practice to get good at this""]","Let me go over what has helped me. I'm going to break it down into two main categories.

Self:

\- Have passions. (Make sure there are  topics you are excited to discuss and share with others. If you do not yet have thigns you enjoy, this takes priority as it is important for your health.)

\- Have ethics. (Make sure you have your own set of morality from which to base your interactions with other people. This is something that I personally value very much but others may not. It is up to you whether or not you wish to disregard this.)

\- Look decent. (This one is a real pain in the ass but extremely important. If you look like shit you will be treated like shit. It shouldn't be so but it is. Pay attention to how you dress, groom, and exercise. If two people are equally amicable, the good lucking one will appear more likable.)

&amp;#x200B;

Others:  


\- Others can be broken down to one major ideal and then several methods to achieve this ideal. Here is the ideal: EVERYONE WANTS TO FEEL VALUED. 

\- So... how do we make others feel valued? There are a lot of ways. Master these to start.  
1. Look people in their eyes. Yes, it matters.  
2. Smile at them. Practice your smile. No , easily seen through BS smile. Learn to believe your own smile.   
3. Talk to them about their interests. There is no way easier way to get others talking then to talk about their interests. This is harder than it seems . Don't just go, ""what do you like... oh that's cool."" Find their interests and speak in a way which is meant to have them as a mentor and you as a disciple. ""Wait, so you are a surfer? Oh, that's amazing I've always wanted to surf! Where do you surf? That's the beach with all the taco places right? Oh my god, I fucking love that place. So you're one of those super fit people I  see surfing all the time while I'm pounding fish tacos, huh?"" etc, etc, etc. It takes a LOT of practice to get good at this. You are going to seem very fake initially but once you get good you can talk with anyone.   
4. Compliment them sincerely (flattery doesn't count.) Find something you admire about the person that is neither shallow nor against their values and take earnest notice of it. There is a coffee place in front of my work. Everyone goes there before heading in and one of the girls there has one of the most stunning smiles you will ever see in your life. One day she hands me my coffee and I tell her this. I go, ""You know, (name), you honestly have one of the best smiles I have ever seen in my life. Sometimes I think I'm coming here to see it rather than the caffeine. This was true. We text each other now.   


Here is the deal mate. You're young and you have a lot of life to learn. I didn't learn these lessons until my ass had been whopped ten ways to Sunday. I still have a lot to learn. Nobody is ever the perfect statesman and the best are constantly practicing. Abraham Lincoln used to write down his negative thoughts rather than expressing them. Reagan took notes on subjects he didn't understand that he knew his friends cared about. The both of them studied OTHERS andcared about OTHERS. They slowly perfected the art of making those others feel valued. 

EDIT: Whoops submitted early... still typing!",1,evaluativist,0.48360443,0.5074309,0.00896469,False,correct,0.5074309
soc_872376,458,absolutist,high,low,dismissive,The writer presents their version of events as objective truth without acknowledging any uncertainty or alternative interpretations. They dismiss the friend's and mother's accusations as definitively false ('crap') and show no genuine consideration that their perspective might be incomplete or that others might have legitimate reasons for their views.,"[""100% ghosted"", ""I literally had NO CLUE what she was talking about"", ""frankly, if anything, she was a 'bad influence' on me"", ""all of her sisters seemingly still believe this crap"", ""I can honestly say"", ""I had never been so confused, so mistaken""]","My childhood best friend (3rd grade through senior year) 100% ghosted after confessing to the life she’d actually been living.
My parents called her their adopted daughter, her mom called me the same. She went on our family vacations - which was NOT a normal thing in my family. I can’t place enough emphasis on that. My parents neither could afford an extra body nor wanted the responsibility/discomfort. But she had become FAMILY. From 8th grade to junior year, I knew she was experimenting with things that I wouldn’t take part of. I knew she was more comfortable with boys than I was- by far. But I had no clue just how far she’d gone, until she admitted everything to me. We were going to bed, talking about the fun we planned to have that summer. She slipped and said ‘I’m going to have so much sex this summer!’ It wasn’t a joke. It wasn’t funny, either. She was not being responsible in any sense of the word. That was one of the last times we ever spoke. I couldn’t understand why for the life of me- I hadn’t berated or judged her. I only asked her to be careful and think about what’s best for her both short and long term. Now, I was no angel. Please don’t get me wrong. But I had boundaries that I stuck to. 
Fast forward 2 years. I run into her mom. She was working seasonally beside my permanent job. I was happy to see her but didn’t get the same reaction. She informed that she well knew what influence *I* had on her daughter, and what it had done to her. Told me that she moved to get away from the ‘bad’ people in her life- insinuating me and a boy she had admitted to sleeping with and smoking crack with (I’d never met him, still to this day -more than 12 years later- I’ve never smoked crack). I explained that I literally had NO CLUE what she was talking about and that frankly, if anything, she was a ‘bad influence’ on me. That I’d had nothing to do with any of the shenanigans she’d gotten herself into over the years. 
12 years later, all of her sisters seemingly still believe this crap. IT BROKE ME. It didn’t just break my heart, it broke ME. I had never been so confused, so mistaken, never been the ‘fall guy’ to this degree. We still haven’t spoken. I still think of her often. I still wonder WTF she would blame ME of all people. I still love her. 
I can honestly say this singular experience has burdened every relationship I’ve had since. I can’t fully trust, in any sense of the word.",0,absolutist,0.5163277,0.44805598,0.035616342,False,correct,0.5163277
soc_1467113,202,evaluativist,high,high,none,"The writer presents their advice as reasoned strategies based on personal experience ('This used to happen to me a lot') rather than absolute truths. They provide logical reasoning for each recommendation (e.g., explaining why the first few hours are 'most sensitive times') and acknowledge uncertainty with hedged language like 'It'll take time and won't work the first few times.' The advice is presented as one approach among potentially many, not as the definitive solution.","[""One strategy I've employed"", ""It'll take time and won't work the first few times"", ""you'll eventually get better at it"", ""try to interrupt"", ""work on making yourself believe""]","This used to happen to me a lot, and still does to a smaller extent. One strategy I've employed is to just not think about the social interaction for at least a few hours afterwards. The first few hours, or if dinks were involved then the next day, are the most sensitive times. Do other things to keep your mind off the event. That way your mind doesn't start self destructing and telling yourself that you did this, that and the other thing wrong.

Next, practice mental habits that remind you that you didn't actually do anything wrong. Remember some of the stupid things your friends and acquaintances have done. Do you really care about those things? Have they done anything besides bring you joy by being funny moments? No, of course not. No one actually cares about your gaffes.

 Next, whenever you happen to find yourself spiralling, try to interrupt the automatic negative thoughts. Ask yourself WHY you think you've messed up. When you figure out whatever you think you did wrong, work on making yourself believe that it's no big deal. It'll take time and won't work the first few times but you'll eventually get better at it. Good luck!",1,evaluativist,0.4492318,0.54355216,0.007216054,False,correct,0.54355216
soc_909498,117,absolutist,high,medium,none,"The writer presents definitive claims about the reader's mental state ('I promise you, what you are feeling is a mini-midlife crisis') and prescriptive solutions without acknowledging uncertainty or alternative explanations. They use concrete evidence (Fauja Singh example) as proof of their position rather than as support for a judgment, and employ directive language throughout.","[""I promise you"", ""what you are feeling is"", ""You're not 'old'"", ""It's okay"", ""That's when it is up to you to"", ""You can still"", ""it just takes some work is all""]","I promise you, what you are feeling is a mini-midlife crisis. You’re not “old” you’re just feeling the pressures of society. It’s okay. Every time you think you’re going to be physically out of shape and never come back consider this: 

There was a man named Fauja Singh who, at the age of *92* ran a marathon, in 5 hours and 40 minutes. 

Sometimes that’s all there is to life, is just normalcy. That’s when it is up to you to create activities you find engaging or exciting, and meet people you can share them with. You can still be friends with/date people even if you aren’t exactly the same, it just takes some work is all.",0,absolutist,0.5464895,0.44131133,0.0121991495,False,correct,0.5464895
soc_1809951,142,absolutist,high,low,none,"The writer presents social interaction strategies as universal truths without qualification or acknowledgment of complexity. They use definitive language like 'Everybody tries to seem much cooler' and 'People like talking about themselves' making sweeping claims about human behavior. The advice is presented as certain knowledge ('Remember that you're a person too') rather than tentative suggestions, with no consideration that different approaches might work for different people or situations.","[""Remember that you're a person too"", ""Everybody tries to seem much cooler"", ""First meetings are always strange"", ""People like talking about themselves"", ""they'll probably start to like you"", ""Always be encouraging"", ""people eventually warm up to you""]",Remember that you’re a person too. The same way you may worry about what people think of you is the way they may worry about what you may think of them. Everybody tries to seem much cooler when you first meet them than they actually are. First meetings are always strange in a way. People like talking about themselves. You could ask them how their day has been or how their weekend was and they’ll probably start to like you when they see that you care about them. Even if you don’t really care to hear about their outside lives lol Always be encouraging but never at the sake of your own self respect. When they respond just say “nice!” Or “that’s neat.” As an introvert that’s what I have done and people eventually warm up to you as you to them,0,absolutist,0.5467544,0.443278,0.009967593,False,correct,0.5467544
soc_822649,123,absolutist,high,low,none,"The writer presents their advice as definitive truth using directive language ('you gotta', 'You need to decide', 'you just gotta grit your teeth and do it') without acknowledging uncertainty or alternative approaches. They treat their personal experience and strategy as universally applicable, presenting it as the obvious solution rather than one possible approach among many.","[""you gotta if you want to live a fulfilled life"", ""You need to decide on a strategy"", ""you just gotta grit your teeth and do it"", ""Just try it once""]","Facing strong emotions whether good or bad is hard. I do it too with my best friends I just think 'alright thats it i never want to see them again' even though I do, I just get scared when we get to close. Changing it takes a huge amount of effort but you gotta if you want to live a fulfilled life. You need to decide on a strategy and think ""ok I want to hang out with such and such more, so how will I start doing that: 1. answer the phone when they call and say 'sure I'll come' '' And then you just gotta grit your teeth and do it. Just try it once and see if it's actually alright.",0,absolutist,0.5488429,0.4420962,0.009060957,False,correct,0.5488429
soc_1148849,167,absolutist,high,low,dismissive,"The writer presents their moral position as objective truth using definitive language ('the golden rule is good', 'you are stronger than a lot of people') and frames opposing approaches as definitively wrong ('Those people are lost'). They provide assertions without substantive reasoning and show no acknowledgment of uncertainty or alternative ethical frameworks.","[""the golden rule is good"", ""you are stronger than a lot of people"", ""Those people are lost"", ""they don't know what their doing, or what is right"", ""It's up to you"", ""Are you wishy-washy or integral?""]","I would say no, that the golden rule is good. Treat people the way you want to be treated, do you want to be treated well or poorly? You do it first because you don’t have to wait for people to be good.

Another thing is living with integrity. If you live with integrity, you are stronger than a lot of people, no “being too gentlemen” can take the strength you have because it has integrity. Just because someone does something to you, does that change who you are? Is it strong to treat another person good who does good to you, but then treat another person bad because they treated you badly? It sounds to me like they switch up, they don’t know what their doing, or what is right. Those people are lost.

I’d say for you, to choose between not knowing good and bad, or to know and act on good despite anyone or anything.

Are you wishy-washy or integral? It’s up to you",0,absolutist,0.5531171,0.23987691,0.20700598,False,correct,0.5531171
soc_279954,269,evaluativist,high,medium,none,"The writer provides reasoned advice based on their experience and observations, acknowledging uncertainty with phrases like 'I believe' and 'maybe idk'. They show metacognitive awareness by admitting limitations ('we are not the wisest beings in relationships') and explicitly acknowledge when they're speculating ('At this point I am just rambling'). The advice is structured around cause-and-effect reasoning rather than presented as absolute truth.","[""I believe"", ""maybe idk"", ""we are not the wisest beings in relationships"", ""At this point I am just rambling"", ""Girls most times are not looking for"", ""I think we really don't take""]","I have hard time having my sister open up to me also. If I ask her directly to address an issue, she'll respond with a one-line also (she's in bad mood and probably sees that I'm just an older brother just reacting to her bad mood). I believe having her trust you would be to show that you will be with her and listen to her no matter what. She will choose the time to open up to you when the mood is right. See how her day is. Get her food. Do indirect things to make her see that you just...care about her not because things are going bad for her and that she is in shitty mood but because you are her brother. Girls most times are not looking for a solution in a talk, but they are looking for a person to vent to (different from us guys). The world is shit and we are not the wisest beings in relationships. But actively show your care for her not in just words but actions too. Also, if you see her hurting herself, know yourself clearly why that action is wrong. The ""what"" is important but ""why"" is all the more important also. When she is angry and bitching at you (maybe idk), be patient and listen to her. I say listen a lot but I think we really don't take our listening skill to a deeper level. At this point I am just rambling, but if you need, have her interact online maybe. There are subreddits for talking such as /r/Needafriend. Feel free to message me. ",1,evaluativist,0.44140187,0.55325323,0.005344845,False,correct,0.55325323
